Y_Class,y_direct_clf,meta_best_n_splits,meta_strategy
0,1,8,1
1,1,8,1
1,1,8,1
1,1,8,1
1,1,8,1
1,1,8,1
2,1,8,1
2,2,8,1
2,2,8,1
2,2,8,1
1,0,8,1
1,0,8,1
0,0,8,1
1,1,8,1
1,1,8,1
1,1,8,1
1,1,8,1
1,1,8,1
1,1,8,1
2,1,8,1
2,2,8,1
0,1,8,1
0,0,8,1
0,0,8,1
1,0,8,1
1,1,8,1
1,1,8,1
1,1,8,1
1,0,8,1
1,1,8,1
1,1,8,1
0,1,8,1
1,0,8,1
1,1,8,1
2,0,8,1
1,2,8,1
2,2,8,1
2,2,8,1
1,1,8,1
2,2,8,1
2,2,8,1
0,0,8,1
1,1,8,1
1,1,8,1
0,0,8,1
0,0,8,1
1,1,8,1
1,1,8,1
1,1,8,1
1,1,8,1
1,1,8,1
0,0,8,1
0,0,8,1
1,1,8,1
1,1,8,1
1,1,8,1
0,1,8,1
1,0,8,1
0,0,8,1
